@relation train

@attribute OverlapRatioORG numeric
@attribute OverlapRatioLOC numeric
@attribute OverlapRatioPRS numeric
@attribute Label {DIFF,EVENT,DUP}

@data
92.62458,83.602981,80.309912,DUP
8.121009,12.343971,17.345035,EVENT
-22.48193,-22.643187,-27.618022,DIFF
86.626326,85.898705,91.545312,DUP
4.446812,15.511213,6.463115,EVENT
-20.639772,-20.364995,-25.882758,DIFF
96.525064,81.155762,85.828358,DUP
11.067468,6.796619,10.961277,EVENT
-25.028624,-20.466182,-29.743068,DIFF
84.154164,93.182012,95.541273,DUP
0.796748,13.730784,13.275176,EVENT
-24.966069,-28.931978,-25.144216,DIFF
88.191717,97.721387,86.254042,DUP
7.629809,10.850123,2.024568,EVENT
-20.636173,-26.939603,-22.962495,DIFF
80.916401,94.552554,98.21889,DUP
1.318006,2.220845,2.273067,EVENT
-29.413686,-25.900493,-29.552365,DIFF
81.418524,81.626225,98.534121,DUP
9.604733,10.113167,5.851877,EVENT
-22.827079,-28.287087,-21.615978,DIFF
94.655424,80.013414,94.31715,DUP
2.817412,11.422188,14.527442,EVENT
-29.133969,-29.679627,-24.73768,DIFF
94.169608,85.996976,88.286985,DUP
16.177235,1.168104,1.313394,EVENT
-21.707151,-24.544651,-22.232523,DIFF
90.772787,81.731051,97.159574,DUP
10.964504,18.581416,2.581937,EVENT
-25.573514,-24.299314,-28.938223,DIFF
94.473862,97.617675,92.187402,DUP
5.737278,11.190591,2.557455,EVENT
-24.618157,-24.840203,-23.164954,DIFF
85.590545,95.55083,89.091739,DUP
1.468345,13.131712,8.487861,EVENT
-20.853821,-22.234002,-27.361753,DIFF
81.873626,93.837851,87.557405,DUP
10.017601,5.713996,16.909746,EVENT
-25.028781,-21.951066,-20.357199,DIFF
85.892262,80.815484,96.392073,DUP
1.360297,12.721186,7.936833,EVENT
-28.496671,-20.974393,-28.428684,DIFF
93.585474,88.335524,97.69429,DUP
6.559807,16.458613,0.618051,EVENT
-26.501136,-29.17197,-22.745054,DIFF
94.123822,89.594339,82.021333,DUP
2.718325,9.719272,12.115487,EVENT
-28.486,-22.510735,-23.919727,DIFF
97.751665,98.108692,87.214486,DUP
8.903953,12.149628,7.443239,EVENT
-28.942627,-22.313469,-20.911927,DIFF
90.499647,88.955853,89.660555,DUP
17.920031,16.917417,4.17945,EVENT
-23.943813,-27.798006,-27.467681,DIFF
98.464307,98.253166,90.036921,DUP
8.889764,15.527488,6.458645,EVENT
-26.684388,-23.687021,-22.900534,DIFF
94.501196,84.390211,95.859919,DUP
18.239114,0.091633,4.76072,EVENT
-20.404583,-25.56457,-24.716332,DIFF
96.328129,80.645567,98.317985,DUP
5.975512,4.68533,4.740603,EVENT
-21.794191,-24.685137,-27.432427,DIFF
98.797445,89.970181,97.686683,DUP
3.307627,6.00128,3.434911,EVENT
